isin,symbol
AIG5259K1050,KDOZF
AIG5300R1094,False
AIG7551X1080,RBRXF
AN8068571086,SLB
ANN4327C1220,HDG.AS
ANN4327C1303,False
ANN741081064,RHDGF
ARBRIO010194,False
ARCTIO010019,CTIO.BA
ARP125991090,BBAR.BA
ARP2354W1188,CEPU.BA
ARP290071462,COME.BA
ARP290071876,False
ARP331091024,CRES.BA
ARP689251337,MOLI.BA
ARP9028N1016,TECO2.BA
ARSIDE010029,TXAR.BA
ARTRAN010011,TRAN.BA
AT000000STR1,STR.VI
AT00000AMAG3,AMAG.VI
AT00000FACC2,FACC.VI
AT00000VIE62,FLU.VI
AT0000606306,RBI.VI
AT0000609607,POS.VI
AT0000616701,ATH.VI
AT0000617907,False
AT0000624705,BKS.VI
AT0000625108,OBS.VI
AT0000625504,BTS.VI
AT0000640552,BHD.VI
AT0000641352,CAI.VI
AT0000644505,LNZ.VI
AT0000652011,EBS.VI
AT0000652250,SPI.VI
AT0000690151,False
AT0000698253,HUS.VI
AT0000720008,TKA.VI
AT0000723606,LTH.VI
AT0000728209,MAN.VI
AT0000730007,ANDR.VI
AT0000741053,EVN.VI
AT0000741301,WPB.VI
AT0000743059,OMV.VI
AT0000746409,VER.VI
AT0000758008,OTS.VI
AT0000758032,OTV.VI
AT0000758305,PAL.VI
AT0000762406,FKA.VI
AT0000767306,RAT.VI
AT0000785407,FAA.DE
AT0000785555,SEM.VI
AT0000793658,False
AT0000797303,STM.VI
AT0000808209,SWUT.VI
AT0000815402,UBS.VI
AT0000816301,UIV.VI
AT0000818802,DOC.VI
AT0000821103,UQA.VI
AT0000824701,VVPS.VI
AT0000827209,WXF.VI
AT0000831706,WIE.VI
AT0000834007,WOL.VI
AT0000837307,ZAG.VI
AT0000908504,VIG.VI
AT0000922554,ROS.VI
AT0000937503,VOE.VI
AT0000938204,MMK.VI
AT0000946652,SBO.VI
AT0000969985,ATS.VI
AT0000A00XX9,PYT.VI
AT0000A00Y78,O2C.DE
AT0000A021K7,HST.VI
AT0000A0E9W5,SANT.DE
AT0000A0Z9G3,GAGS.VI
AT0000A0Z9H1,GAGV.VI
AT0000A18XM4,AMS.SW
AT0000A1PY49,CLEN.VI
AT0000A21KS2,IIA.VI
AT0000A25NJ6,WAH.MU
AT0000A2KLN5,False
AT0000A2SGH0,BEAG.VI
AT0000APOST4,POST.VI
AT0000BAWAG2,BG.VI
AT0000KTMI02,AT0000KTMI02.SG
AT000ADDIKO0,ADKO.VI
AT000AGRANA3,AGR.VI
AT000KAPSCH9,KTCG.VI
ATBIOGENA005,BIO.VI
ATFREQUENT09,FQT.F
ATKOSTADAG01,KES.VI
ATMARINOMED6,MARI.VI
AU0000000366,EM2.AX
AU0000001661,RDN.AX
AU0000001AG5,1AG.AX
AU0000001PG3,False
AU0000003816,CPV.AX
AU0000003DP6,3DP.AX
AU0000004053,WML.AX
AU0000004129,WZR.AX
