isin,symbol
US0231351067,AMZN
US88160R1014,TSLA
US09075V1026,22UA.F
US0378331005,AAPL
US5949181045,MSFT
US02079K3059,GOOGL
DE000BASF111,BAS.DE
NO0010081235,NEL.OL
DE0007100000,MBG.DE
DE0007030009,RHM.DE
DE0008404005,ALV.DE
CNE100000296,1211.HK
US67066G1040,NVDA
US72919P2020,PLUG
DE0005557508,DTE.DE
GB00BP6MXD84,SHELL.AS
DE000BAY0017,BAYN.DE
NL0011375019,SNH.JO
DE000DTR0CK8,DTG.DE
US70450Y1038,PYPL
DE0005140008,DBK.DE
US0846707026,BRK-B
DE0007664039,VOW3.DE
DE000A1ML7J1,VNA.DE
DE0007164600,SAP.DE
DE0005552004,DPW.DE
DE000CBK1001,CBK.DE
DE0008232125,LHA.DE
DE000ENAG999,EOAN.DE
US02079K1079,GOOG
DE000KSAG888,SDF.DE
DE000ENER6Y0,ENR.DE
FR0004056851,VLA.PA
DE000TUAG000,TUI1.DE
DE0008430026,MUV2.DE
DE0007236101,SIE.DE
US0079031078,AMD
IE00BZ12WP82,LIN
US3682872078,False
DE0005190003,BMW.DE
CH0038863350,NESN.SW
US30303M1027,FB
US01609W1027,BABA
US92826C8394,V
DE0006231004,IFX.DE
US00165C1045,AMC
DE0007037129,RWE.DE
DE000A0TGJ55,VAR1.DE
US1912161007,KO
DE000A1EWWW0,ADS.DE
US88160R1014,TSLA
US09075V1026,22UA.F
US0378331005,AAPL
US5949181045,MSFT
US02079K3059,GOOGL
DE000BASF111,BAS.DE
NO0010081235,NEL.OL
DE0007100000,MBG.DE
DE0007030009,RHM.DE
DE0008404005,ALV.DE
CNE100000296,1211.HK
US67066G1040,NVDA
US72919P2020,PLUG
DE0005557508,DTE.DE
GB00BP6MXD84,SHELL.AS
DE000BAY0017,BAYN.DE
NL0011375019,SNH.JO
DE000DTR0CK8,DTG.DE
US70450Y1038,PYPL
DE0005140008,DBK.DE
US0846707026,BRK-B
DE0007664039,VOW3.DE
DE000A1ML7J1,VNA.DE
DE0007164600,SAP.DE
DE0005552004,DPW.DE
DE000CBK1001,CBK.DE
DE0008232125,LHA.DE
DE000ENAG999,EOAN.DE
US02079K1079,GOOG
DE000KSAG888,SDF.DE
DE000ENER6Y0,ENR.DE
FR0004056851,VLA.PA
DE000TUAG000,TUI1.DE
DE0008430026,MUV2.DE
DE0007236101,SIE.DE
US0079031078,AMD
IE00BZ12WP82,LIN
US3682872078,False
DE0005190003,BMW.DE
CH0038863350,NESN.SW
US30303M1027,FB
US01609W1027,BABA
US92826C8394,V
DE0006231004,IFX.DE
US00165C1045,AMC
DE0007037129,RWE.DE
DE000A0TGJ55,VAR1.DE
US1912161007,KO
DE000A1EWWW0,ADS.DE
US64110L1061,NFLX
DE0007500001,TKA.DE
US6700024010,NVAX
DE000PAH0038,PAH3.DE
NL0010273215,ASML.AS
GB00B10RZP78,ULVR.L
US69608A1088,PLTR
FR0000121014,MC.PA
DE000A0WMPJ6,AIXA.DE
GB0007980591,BP.L
US7170811035,PFE
DE000HAG0005,DE000HAG0005.SG
DE000A0D6554,NDX1.DE
CA0585861085,BLDP.TO
US7427181091,PG
US2546871060,DIS
NL0000235190,AIR.PA
DK0060534915,NOVO-B.CO
NL0015436031,CVAC
DE000DWS1007,DWS.DE
CA82509L1076,SHOP
GB0007188757,RIO.L
DE0005785604,FRE.DE
US88579Y1010,MMM
US62914V1061,NION.MX
JE00B4T3BW64,GLEN.L
US4581401001,INTC
US5007541064,KHC
CA8536061010,SLI.V
US4781601046,JNJ
DE0007165631,SRT3.DE
US47759T1007,ZJS1.F
AU0000224040,AU0000224040_GBX.L
DE000A2E4K43,DHER.DE
NO0010096985,EQNR.OL
PA1436583006,CCL
CA0679011084,ABX.TO
DE000A161408,HFG.DE
DE0006062144,1COV.DE
IL0065100930,ZIM
US58933Y1055,MRK
AU000000BHP4,BHP.AX
DE0005659700,EUZ.DE
DE000ZAL1111,ZAL.DE
DK0010244508,MAERSK-B.CO
US1667641005,CVX
CA73939X1006,MOTNF
DE0006599905,MRK.DE
US00206R1023,T
DE000A0Z2ZZ5,FNTN.DE
NO0010904923,HPUR.OL
DE000A2YN900,TMV.DE
KYG9830T1067,1810.HK
DE0007568578,F3C.DE
DE0008019001,PBB.DE
DE000PSM7770,PSM.DE
DE0008402215,HNR1.DE
US53814L1089,LTHM
US79466L3024,CRM
US60770K1079,MRNA
GB0002875804,BATS.L
FR0000120271,TTE.PA
DE000A0JL9W6,VBK.DE
AU0000193666,AKE.AX
DE000A1J5RX9,O2D.DE
US30231G1022,XOM
CH0012032048,ROG.SW
DE000HLAG475,HLAG.DE
US8522341036,SQ
US6745991058,OXY
US09247X1019,BLK
DE0007472060,WDI.HM
US6541101050,NKLA
US5951121038,MU
DE0005664809,EVT.DE
US86738R1086,HYSR
LU1673108939,AT1.DE
SE0006425815,PCELL.ST
US65339F1012,NEE
US00724F1012,ADBE
DE0006095003,ECV.DE
US02209S1033,MO
DE0005439004,CON.DE
DE000A0DJ6J9,S92.DE
US4592001014,IBM
US36467W1099,GME
US17275R1023,CSCO
US00287Y1091,ABBV
US5801351017,MCD
LU0061462528,RRTL.DE
AT0000A0E9W5,SANT.DE
DE000WAF3001,WAF.DE
KYG6683N1034,NU
DE0007314007,HDD.DE
US91680M1071,US91680M1071.SG
US19260Q1076,COIN
CA6076771014,MEAT.CN
DE000SHL1006,SHL.DE
DE0006047004,HEI.DE
CA45783P1027,INNO.CN
US6541061031,NKE
GB00B0130H42,ITM.L
CH0108503795,MBTN.SW
CA0272592092,LI.V
NL0011821202,INGA.AS
US0970231058,BA
US91324P1021,UNH
DE0006048432,HEN3.DE
US8552441094,SBUX
DE000SHA0159,SHA.DE
