isin,symbol,name,url,branch,country,countryCode
AN8068571086,SLB,SCHLUMBERGER LTD.,/aktien/SCHLUMBERGER-NV-Aktie-AN8068571086,Öl und Gas,USA,us
ANN4327C1220,HDG.AS,HUNTER DOUGLAS N.V.,/aktien/HUNTER-DOUGLAS-Aktie-ANN4327C1220,Sonstige Konsumgüter,Niederlande,nl
ARCTIO010019,CTIO.BA,CONSULTATIO S.A. REG,/aktien/Consultatio-Aktie-ARCTIO010019,,Argentinien,ar
ARP125991090,BBAR.BA,BBVA BANCO ARGENTINA,/aktien/BANCO-BBVA-ARGENTINA-Aktie-ARP125991090,Banken,Argentinien,ar
ARP2354W1188,CEPU.BA,CENTRAL PUERTO SA,/aktien/Central-Puerto-Aktie-ARP2354W1188,Dienstleistungen,Argentinien,ar
ARP290071462,COME.BA,SDAD COM PLATA SA (C,/aktien/COMER-DEL-PLATA-Aktie-ARP290071462,Öl und Gas,Argentinien,ar
ARP331091024,CRES.BA,CRESUD S.A. COM.IND.,/aktien/Cresud-Aktie-ARP331091024,Nahrungsmittel,Argentinien,ar
ARP689251337,MOLI.BA,MOLINOS RIO DE LA PL,/aktien/MOLINOS-Aktie-ARP689251337,Nahrungsmittel,Argentinien,ar
ARSIDE010029,TXAR.BA,TERNIUM ARGENTINA SA,/aktien/TERNIUM-ARGENTINA-Aktie-ARSIDE010029,Eisen / Stahlindustr...,Argentinien,ar
ARTRAN010011,TRAN.BA,C.DE TRANSP.DE EN.EL,/aktien/Cia-de-Transporte-Aktie-ARTRAN010011,Elektroausstattung u...,Argentinien,ar
AT000000STR1,STR.VI,STRABAG SE,/aktien/STRABAG-SE-Aktie-AT000000STR1,Bauhauptgewerbe,Österreich,at
AT00000AMAG3,AMAG.VI,AMAG AUSTRIA METALL ,/aktien/AMAG-AUSTRIA-METALL-AG-Aktie-AT00000AMAG3,Rohstoffe,Österreich,at
AT00000FACC2,FACC.VI,FACC AG,/aktien/FACC-AG-Aktie-AT00000FACC2,Luft- und Raumfahrti...,Österreich,at
AT00000VIE62,FLU.VI,FLUGHAFEN WIEN AG,/aktien/FLUGHAFEN-WIEN-AG-Aktie-AT00000VIE62,Sonstige Branchen,Österreich,at
AT0000606306,RBI.VI,Raiffeisen,/aktien/Raiffeisen-Aktie-AT0000606306,Banken,Österreich,at
AT0000609607,POS.VI,PORR AG,/aktien/PORR-AG-Aktie-AT0000609607,Bauhauptgewerbe,Österreich,at
AT0000616701,ATH.VI,ATHOS IMMOBILIEN AG,/aktien/ATHOS-IMMOBILIEN-AG-Aktie-AT0000616701,Immobilien,Österreich,at
AT0000624705,BKS.VI,BKS BANK AG,/aktien/BKS-BANK-AG-Aktie-AT0000624705,Banken,Österreich,at
AT0000625108,OBS.VI,OBERBANK AG,/aktien/OBERBANK-AG-Aktie-AT0000625108,Banken,Österreich,at
AT0000625504,BTS.VI,BANK FUER TIROL UND ,/aktien/BANK-FUER-TIROL-UND-VORARLBERG-AG-Aktie-AT0000625504,Banken,Österreich,at
AT0000640552,BHD.VI,BURGENLAND HOLDING A,/aktien/BURGENLAND-HOLDING-AG-Aktie-AT0000640552,Sonstige Versorger,Österreich,at
AT0000641352,CAI.VI,CA IMMOBILIEN ANLAGE,/aktien/CA-IMMOBILIEN-ANLAGEN-AG-Aktie-AT0000641352,Immobilien,Österreich,at
AT0000644505,LNZ.VI,LENZING AG,/aktien/LENZING-AG-Aktie-AT0000644505,Textilindustrie,Österreich,at
AT0000652011,EBS.VI,Erste Group Bank,/aktien/Erste-Group-Bank-Aktie-AT0000652011,Banken,Österreich,at
AT0000652250,SPI.VI,S IMMO AG,/aktien/S-IMMO-AG-Aktie-AT0000652250,Immobilien,Österreich,at
AT0000698253,HUS.VI,HUTTER & SCHRANTZ AG,/aktien/HUTTER-SCHRANTZ-AG-Aktie-AT0000698253,Sonstige Branchen,Österreich,at
AT0000720008,TKA.VI,TELEKOM AUSTRIA AG,/aktien/TELEKOM-AUSTRIA-AG-Aktie-AT0000720008,Telekomdienstleister,Österreich,at
AT0000723606,LTH.VI,LINZ TEXTIL HOLDING ,/aktien/LINZ-TEXTIL-HOLDING-AG-Aktie-AT0000723606,Sonstige Branchen,Österreich,at
AT0000728209,MAN.VI,JOSEF MANNER & COMP.,/aktien/JOSEF-MANNER-COMP-AG-Aktie-AT0000728209,Nahrungsmittel,Österreich,at
AT0000730007,ANDR.VI,Andritz,/aktien/Andritz-Aktie-AT0000730007,Elektroausstattung u...,Österreich,at
AT0000741053,EVN.VI,EVN AG,/aktien/EVN-AG-Aktie-AT0000741053,Energieversorger,Österreich,at
AT0000741301,WPB.VI,WIENER PRIVATBANK SE,/aktien/WIENER-PRIVATBANK-SE-Aktie-AT0000741301,Banken,Österreich,at
AT0000743059,OMV.VI,OMV,/aktien/OMV-Aktie-AT0000743059,Öl und Gas,Österreich,at
AT0000746409,VER.VI,VERBUND AG,/aktien/VERBUND-AG-Aktie-AT0000746409,Sonstige Branchen,Österreich,at
AT0000758008,OTS.VI,OTTAKRINGER GETRAENK,/aktien/OTTAKRINGER-GETRAENKE-AG-Aktie-AT0000758008,Getränke / Tabak,Österreich,at
AT0000758032,OTV.VI,OTTAKRINGER GETRAENK,/aktien/OTTAKRINGER-GETRAENKE-AG-Aktie-AT0000758032,Getränke / Tabak,Österreich,at
AT0000758305,PAL.VI,PALFINGER AG,/aktien/PALFINGER-AG-Aktie-AT0000758305,Automobilzulieferer,Österreich,at
AT0000762406,FKA.VI,FRAUENTHAL HOLDING A,/aktien/FRAUENTHAL-HOLDING-AG-Aktie-AT0000762406,Baumaterial und -kom...,Österreich,at
AT0000785407,FAA.DE,FABASOFT AG,/aktien/FABASOFT-AG-Aktie-AT0000785407,Spezialsoftware,Österreich,at
AT0000785555,SEM.VI,SEMPERIT AG HOLDING,/aktien/SEMPERIT-HOLDING-AG-Aktie-AT0000785555,Sonstige Branchen,Österreich,at
AT0000797303,STM.VI,STADLAUER MALZFABRIK,/aktien/STADLAUER-MALZFABRIK-AG-Aktie-AT0000797303,Nahrungsmittel,Österreich,at
AT0000808209,SWUT.VI,SW UMWELTTECHNIK AG,/aktien/SW-UMWELTTECHNIK-STOISER-WOLSCHNER-AG-Aktie-AT0000808209,Entsorgung / Umweltt...,Österreich,at
AT0000815402,UBS.VI,UBM DEVELOPMENT AG,/aktien/UBM-DEVELOPMENT-AG-Aktie-AT0000815402,Immobilien,Österreich,at
AT0000816301,UIV.VI,UNTERNEHMENS INVEST ,/aktien/UNTERNEHMENS-INVEST-AG-Aktie-AT0000816301,Finanzdienstleistung...,Österreich,at
AT0000818802,DOC.VI,DO & CO AG,/aktien/DO-CO-AG-Aktie-AT0000818802,Luft- und Raumfahrti...,Österreich,at
AT0000821103,UQA.VI,UNIQA INSURANCE GROU,/aktien/UNIQA-INSURANCE-GROUP-AG-Aktie-AT0000821103,Versicherungen,Österreich,at
AT0000824701,VVPS.VI,VOLKSBANK VORARLBERG,/aktien/VORARLBERGER-VOLKSBANK-Aktie-AT0000824701,,Österreich,at
AT0000827209,WXF.VI,WARIMPEX FINANZ UND ,/aktien/WARIMPEX-FINANZ-UND-BETEILIGUNGS-AG-Aktie-AT0000827209,Immobilien,Österreich,at
AT0000831706,WIE.VI,WIENERBERGER AG,/aktien/WIENERBERGER-AG-Aktie-AT0000831706,Holzindustrie / Holz...,Österreich,at
AT0000834007,WOL.VI,WOLFORD AG,/aktien/WOLFORD-AG-Aktie-AT0000834007,Bekleidungsartikel,Österreich,at
AT0000837307,ZAG.VI,ZUMTOBEL GROUP AG,/aktien/ZUMTOBEL-GROUP-AG-Aktie-AT0000837307,Sonstige Branchen,Österreich,at
AT0000908504,VIG.VI,VIENNA INSURANCE GRO,/aktien/VIENNA-INSURANCE-GROUP-AG-Aktie-AT0000908504,Versicherungen,Österreich,at
AT0000922554,ROS.VI,ROSENBAUER INTERNATI,/aktien/ROSENBAUER-INTERNATIONAL-AG-Aktie-AT0000922554,Automobilproduktion,Österreich,at
AT0000937503,VOE.VI,VOESTALPINE AG,/aktien/VOESTALPINE-AG-Aktie-AT0000937503,Eisen / Stahlindustr...,Österreich,at
AT0000938204,MMK.VI,MAYR-MELNHOF KARTON ,/aktien/MAYR-MELNHOF-KARTON-AG-Aktie-AT0000938204,Papierindustrie,Österreich,at
AT0000946652,SBO.VI,SCHOELLER-BLECKMANN ,/aktien/SCHOELLER-BLECKMANN-OILFIELD-EQUIPMENT-AG-Aktie-AT0000946652,Maschinenbau,Österreich,at
AT0000969985,ATS.VI,AT & S,/aktien/AT-S-Aktie-AT0000969985,Halbleiterindustrie,Österreich,at
AT0000A00XX9,PYT.VI,POLYTEC HOLDING AG,/aktien/POLYTEC-HOLDING-AG-Aktie-AT0000A00XX9,Automobilzulieferer,Österreich,at
AT0000A00Y78,O2C.DE,Cat Oil,/aktien/Cat-Oil-Aktie-AT0000A00Y78,Sonstige Branchen,Österreich,at
AT0000A021K7,HST.VI,HUTTER & SCHRANTZ ST,/aktien/HUTTER-SCHRANTZ-STAHLBAU-AG-Aktie-AT0000A021K7,Bauhauptgewerbe,Österreich,at
AT0000A0E9W5,SANT.DE,Kontron AG,/aktien/Kontron-AG-Aktie-AT0000A0E9W5,IT-Dienstleistungen,Österreich,at
AT0000A0Z9G3,GAGS.VI,GURKTALER AG ST,/aktien/GURKTALER-AG-Aktie-AT0000A0Z9G3,Getränke / Tabak,Österreich,at
AT0000A0Z9H1,GAGV.VI,GURKTALER AG VZ,/aktien/GURKTALER-AG-Aktie-AT0000A0Z9H1,Getränke / Tabak,Österreich,at
AT0000A18XM4,AMS.SW,AMS-OSRAM AG,/aktien/AMS-OSRAM-AG-Aktie-AT0000A18XM4,Halbleiterindustrie,Österreich,at
AT0000A1PY49,CLEN.VI,CLEEN ENERGY AG,/aktien/CLEEN-ENERGY-AG-Aktie-AT0000A1PY49,Sonstige Branchen,Österreich,at
AT0000A21KS2,IIA.VI,IMMOFINANZ AG,/aktien/IMMOFINANZ-AG-Aktie-AT0000A21KS2,Immobilien,Österreich,at
AT0000A25NJ6,WAH.MU,WOLFTANK-ADISA HOLDI,/aktien/WOLFTANK-ADISA-HOLDING-AG-Aktie-AT0000A25NJ6,Sonstige Branchen,Österreich,at
AT0000A2SGH0,BEAG.VI,:BE AG,/aktien/BE-AG-Aktie-AT0000A2SGH0,,Österreich,at
AT0000APOST4,POST.VI,OESTERREICHISCHE POS,/aktien/OESTERREICHISCHE-POST-AG-Aktie-AT0000APOST4,Gütertransport,Österreich,at
AT0000BAWAG2,BG.VI,BAWAG GROUP AG,/aktien/BAWAG-GROUP-AG-Aktie-AT0000BAWAG2,Banken,Österreich,at
AT0000KTMI02,AT0000KTMI02.SG,PIERER MOBILITY AG,/aktien/PIERER-MOBILITY-AG-Aktie-AT0000KTMI02,Sonstige Kraftfahrze...,Österreich,at
AT000ADDIKO0,ADKO.VI,ADDIKO BANK AG,/aktien/ADDIKO-BANK-AG-Aktie-AT000ADDIKO0,Banken,Österreich,at
AT000AGRANA3,AGR.VI,AGRANA BETEILIGUNGS-,/aktien/AGRANA-BETEILIGUNGS-AG-Aktie-AT000AGRANA3,Nahrungsmittel,Österreich,at
AT000KAPSCH9,KTCG.VI,KAPSCH TRAFFICCOM AG,/aktien/KAPSCH-TRAFFICCOM-AG-Aktie-AT000KAPSCH9,Eisenbahn und Straße,Österreich,at
ATBIOGENA005,BIO.VI,BIOGENA GROUP INVEST,/aktien/BIOGENA-GROUP-Aktie-ATBIOGENA005,,Österreich,at
ATFREQUENT09,FQT.F,FREQUENTIS AG,/aktien/FREQUENTIS-AG-Aktie-ATFREQUENT09,IT-Dienstleistungen,Österreich,at
ATKOSTADAG01,KES.VI,KOSTAD AG,/aktien/KOSTAD-AG-Aktie-ATKOSTADAG01,,Österreich,at
ATMARINOMED6,MARI.VI,MARINOMED BIOTECH AG,/aktien/MARINOMED-BIOTECH-AG-Aktie-ATMARINOMED6,Sonstige Branchen,Österreich,at
AU0000000366,EM2.AX,EAGLE MOUNTAIN MININ,/aktien/EAGLE-MOUNTAIN-MINING-LTD-Aktie-AU0000000366,,Australien,au
AU0000001661,RDN.AX,RAIDEN RESOURCES LTD,/aktien/MEDICAL-MONITORS-Aktie-AU0000001661,,Australien,au
AU0000001AG5,1AG.AX,ALTERRA LTD. REGISTE,/aktien/CARBON-CONSCIOUS-LIMITED-Aktie-AU0000001AG5,,Australien,au
AU0000003816,CPV.AX,CLEARVUE TECHNOLOGIE,/aktien/CLEARVUE-TECHNOLOGIES-Aktie-AU0000003816,Baumaterial und -kom...,Australien,au
AU0000003DP6,3DP.AX,POINTERRA LTD. REGIS,/aktien/POINTERRA-LTD-Aktie-AU0000003DP6,,Australien,au
AU0000004772,ADT.AX,ADRIATIC METALS PLC,/aktien/ADRIATIC-METALS-Aktie-AU0000004772,Rohstoffe,Großbritannien,gb
AU0000004DS8,4DS.AX,4DS MEMORY LTD. REGI,/aktien/4DS-MEMORY-LIMITED-Aktie-AU0000004DS8,,Australien,au
AU0000005001,C6C.AX,COPPER MOUNTAIN MINI,/aktien/COPPER-MOUNTAIN-MINING-Aktie-AU0000005001,Edelmetalle,Kanada,ca
AU0000005126,GDG.AX,GENERATION DEVELOPME,/aktien/AUSTOCK-GROUP-LIMITED-Aktie-AU0000005126,,Australien,au
AU0000005159,JMS.AX,JUPITER MINES LTD. R,/aktien/JUPITER-MINES-LIMITED-Aktie-AU0000005159,,Australien,au
AU0000006124,ACF.AX,ACROW FORMWORK AND C,/aktien/ACROW-FORMWORK-AND-CONSTRUCTION-Aktie-AU0000006124,Bauhauptgewerbe,Australien,au
AU0000006934,NWC.AX,NEW WORLD RESOURCES ,/aktien/MEDIVOLVE-Aktie-AU0000006934,Gesundheitsdienstlei...,Kanada,ca
AU0000007627,INF.AX,INFINITY LITHIUM COR,/aktien/INFINITY-LITHIUM-Aktie-AU0000007627,Rohstoffe,Australien,au
AU0000007866,EM1.AX,ARROWHEAD RESOURCES ,/aktien/ARROWHEAD-RESOURCES-Aktie-AU0000007866,Rohstoffe,Australien,au
AU00000088E2,88E.AX,88 ENERGY LIMITED,/aktien/88-ENERGY-LTD-Aktie-AU00000088E2,Öl und Gas,Australien,au
AU0000009771,URW.AX,UNIBAIL-RODAMCO-WEST,/aktien/UNIBAIL-RODAMCO-WESTFIELD-SE-Aktie-AU0000009771,Immobilien,Frankreich,fr
AU0000009789,PDL.AX,PENDAL GROUP LTD,/aktien/PENDAL-GROUP-Aktie-AU0000009789,Finanzdienstleistung...,Australien,au
AU000000A3D7,A3D.AX,AURORA LABS LTD. REG,/aktien/AURORA-LABS-LTD-Aktie-AU000000A3D7,,Australien,au
AU000000A880,ATCLF,ADVANCETC LTD NPV,/aktien/ADVANCETC-LTD-Aktie-AU000000A880,,Australien,au
AU000000AAC9,AAC.AX,AUSTRALIAN AGRICULTU,/aktien/AUSTRALIAN-AGRICULTURAL-Aktie-AU000000AAC9,,Australien,au
AU000000AAR7,AAR.AX,ANGLO AUSTRALIAN RES,/aktien/ANGLO-AUST-RSC-Aktie-AU000000AAR7,,Australien,au
AU000000ABC7,ABC.AX,ADBRI LTD.,/aktien/ADBRI-Aktie-AU000000ABC7,Baumaterial und -kom...,Australien,au
AU000000ABP9,ABP.AX,ABACUS PROPERTY GROU,/aktien/ABACUS-PROPERTY-GROUP-UNITS-STAPLED-SECURITIES-Aktie-AU000000ABP9,Immobilien,Australien,au
AU000000AC89,AC8.AX,AUSCANN GROUP HOLDIN,/aktien/AUSCANN-GROUP-HLDGS-Aktie-AU000000AC89,Gesundheitsdienstlei...,Australien,au
AU000000ACB7,ACB.AX,A-CAP ENERGY LTD. RE,/aktien/A-CAP-RESOURCES-Aktie-AU000000ACB7,,Australien,au
AU000000ACR3,ACR.AX,ACRUX LTD. REGISTERE,/aktien/ACRUX-Aktie-AU000000ACR3,,Australien,au
AU000000ACS1,ACS.AX,ACCENT RESOURCES N.L,/aktien/ACCENT-RESOURCES-NL-Aktie-AU000000ACS1,,Australien,au
AU000000ACW3,ACW.AX,ACTINOGEN MEDICAL LT,/aktien/ACTINOGEN-MEDICAL-Aktie-AU000000ACW3,Biotechnologie,Australien,au
AU000000AD88,AD8.AX,AUDINATE GROUP LTD,/aktien/AUDINATE-GROUP-Aktie-AU000000AD88,Netzwerktechnik und ...,Australien,au
AU000000ADA7,ADA.AX,ADACEL TECHNOLOGIES ,/aktien/ADACEL-TECHNOLOGIES-Aktie-AU000000ADA7,IT-Dienstleistungen,Australien,au
AU000000ADH2,ADH.AX,ADAIRS LTD. REGISTER,/aktien/ADAIRS-LIMITED-Aktie-AU000000ADH2,,Australien,au
AU000000ADN0,ADN.AX,ANDROMEDA METALS LTD,/aktien/ADELAIDE-RSC-Aktie-AU000000ADN0,,Australien,au
AU000000ADO8,ADO.AX,ANTEOTECH LTD. REGIS,/aktien/BIOLAYER-CORP-LIMITED-Aktie-AU000000ADO8,,Australien,au
AU000000ADV3,ADV.AX,ARDIDEN LTD. REGISTE,/aktien/ELDORE-MINING-CORPORATION-LIMITED-Aktie-AU000000ADV3,,Australien,au
AU000000ADX9,ADX.AX,ADX ENERGY LTD,/aktien/ADX-ENERGY-Aktie-AU000000ADX9,,Australien,au
AU000000ADY7,ADY.AX,ADMIRALTY RESOURCES ,/aktien/ADMIRALTY-RESOURCES-NL-Aktie-AU000000ADY7,,Australien,au
AU000000AEE7,AEE.AX,AURA ENERGY LTD.,/aktien/AURA-ENERGY-Aktie-AU000000AEE7,Rohstoffe,Australien,au
AU000000AEF4,AEF.AX,AUSTRALIAN ETHICAL I,/aktien/AUST-ETHICAL-INV-Aktie-AU000000AEF4,,Australien,au
AU000000AEI8,AEI.AX,AERIS ENVIRONMENTAL ,/aktien/AERIS-TECH-Aktie-AU000000AEI8,,Australien,au
AU000000AEV1,AEV.AX,AVENIRA LTD.,/aktien/AVENIRA-Aktie-AU000000AEV1,Edelmetalle,Australien,au
AU000000AFI5,AFI.AX,AUSTRALIAN FOUND.INV,/aktien/AUST-FNDTN-INV-Aktie-AU000000AFI5,Finanzdienstleistung...,Australien,au
AU000000AGD4,AGD.AX,AUSTRAL GOLD LTD. RE,/aktien/AUSTRAL-GOLD-LIMITED-Aktie-AU000000AGD4,,Australien,au
AU000000AGE2,AGE.AX,ALLIGATOR ENERGY LTD,/aktien/ALLIGATOR-ENERGY-LTD-Aktie-AU000000AGE2,,Australien,au
AU000000AGG7,AGG.AX,ANGLOGOLD ASHANTI LT,/aktien/ANGLOGOLD-ASHANTI-LTD-Aktie-AU000000AGG7,Edelmetalle,Südafrika,za
AU000000AGI3,AGI.AX,AINSWORTH GAME TECHN,/aktien/AINSWORTH-GAME-Aktie-AU000000AGI3,,Australien,au
AU000000AGL7,AGL.AX,AGL ENERGY,/aktien/AGL-ENERGY-LTD-Aktie-AU000000AGL7,Sonstige Branchen,Australien,au
AU000000AGS2,AGS.AX,ALLIANCE RESOURCES L,/aktien/ALLIANCE-RESOURCES-Aktie-AU000000AGS2,Edelmetalle,Australien,au
AU000000AGY0,AGY.AX,ARGOSY MINERALS LTD,/aktien/ARGOSY-MINERALS-Aktie-AU000000AGY0,Rohstoffe,Kanada,ca
AU000000AHN1,AHN.AX,ATHENA RESOURCES LTD,/aktien/ATHENA-RESOURCES-LTD-Aktie-AU000000AHN1,,Australien,au
AU000000AHQ4,AHQ.AX,ALLEGIANCE COAL LTD.,/aktien/ALLEGIANCE-COAL-LTD-Aktie-AU000000AHQ4,,Australien,au
AU000000AIR0,AIR.AX,ASTIVITA LTD. REGIST,/aktien/AstiVita-Limited-Aktie-AU000000AIR0,,Australien,au
AU000000AIS8,AIS.AX,AERIS RESOURCES LTD.,/aktien/STRAITS-RESOURCES-LTD-Aktie-AU000000AIS8,,Australien,au
AU000000AJX6,AJX.AX,ALEXIUM INTERNATIONA,/aktien/ALEXIUM-INTERNATIONAL-GRP-LTD-Aktie-AU000000AJX6,Nahrungsmittel,Australien,au
AU000000AKM7,AKM.AX,ASPIRE MINING LTD.,/aktien/Aspire-Mining-Limited-Aktie-AU000000AKM7,,Australien,au
AU000000AKP0,AKP.AX,AUDIO PIXELS HOLDING,/aktien/GLOBAL-PROPERTIES-LIMITED-Aktie-AU000000AKP0,,Australien,au
AU000000ALI3,ALI.AX,ARGO GLOBAL LISTED I,/aktien/ARGO-GLOBAL-LISTED-INFRASTRCT-LTD-Aktie-AU000000ALI3,,Australien,au
AU000000ALK9,ALK.AX,ALKANE RESOURCES LTD,/aktien/ALKANE-RESOURCES-Aktie-AU000000ALK9,Edelmetalle,Australien,au
AU000000ALL7,ALL.AX,ARISTOCRAT LEISURE L,/aktien/ARISTOCRAT-LEIS-Aktie-AU000000ALL7,Unterhaltungselektro...,Australien,au
AU000000ALQ6,ALQ.AX,ALS LTD.,/aktien/ALS-LTD-Aktie-AU000000ALQ6,,Australien,au
AU000000ALU8,ALU.AX,ALTIUM LTD.,/aktien/ALTIUM-Aktie-AU000000ALU8,Netzwerktechnik und ...,Australien,au
AU000000ALY0,ALY.AX,ALCHEMY RESOURCES LT,/aktien/ALCHEMY-RESOURCES-Aktie-AU000000ALY0,Rohstoffe,Australien,au
AU000000AMA8,AMA.AX,AMA GROUP LTD. REGIS,/aktien/AMRITES-Aktie-AU000000AMA8,,Australien,au
AU000000AMC4,AMC.AX,AMCOR PLC,/aktien/AMCOR-Aktie-AU000000AMC4,Spezialchemie,USA,us
AU000000AMI1,AMI.AX,AURELIA METALS LTD.,/aktien/AURELIA-METALS-Aktie-AU000000AMI1,Edelmetalle,Australien,au
AU000000AML5,AML.AX,AEON METALS LTD. REG,/aktien/AUSSIE-Q-RESOURCES-LIMITED-Aktie-AU000000AML5,,Australien,au
AU000000AMN1,AMN.AX,AGRIMIN LTD. REGISTE,/aktien/AGRIMIN-LTD-Aktie-AU000000AMN1,,Australien,au
AU000000AMP6,AMP.AX,AMP LTD.,/aktien/AMP-LTD-Aktie-AU000000AMP6,Finanzdienstleistung...,Australien,au
AU000000ANG3,ANG.AX,AUSTIN ENGINEERING L,/aktien/AUSTIN-ENGINEERING-Aktie-AU000000ANG3,,Australien,au
AU000000ANL3,ANL.AX,AMANI GOLD LTD,/aktien/AMANI-GOLD-Aktie-AU000000ANL3,Edelmetalle,Australien,au
AU000000ANN9,ANN.AX,ANSELL LTD.,/aktien/ANSELL-LTD-Aktie-AU000000ANN9,Sonstige Branchen,Australien,au
AU000000ANO7,ANO.AX,ADVANCE ZINCTEK LTD.,/aktien/ADVANCE-ZINCTEK-Aktie-AU000000ANO7,Chemie,Australien,au
AU000000ANP4,ANP.AX,ANTISENSE THERAPEUTI,/aktien/ANTISENSE-THERAPEUTICS-Aktie-AU000000ANP4,Biotechnologie,Australien,au
AU000000ANZ3,ANZ.AX,AUSTRALIA & NEW ZEAL,/aktien/AUSTRALIA-NEW-ZEALAND-BANKING-GROUP-LTD-Aktie-AU000000ANZ3,Sonstige Branchen,Australien,au
AU000000AOF3,AOF.AX,AUSTRALIAN UNITY OFF,/aktien/Australian-Unity-Office-Aktie-AU000000AOF3,,Australien,au
AU000000AON7,AON.AX,APOLLO MINERALS LTD.,/aktien/APOLLO-MINERALS-Aktie-AU000000AON7,Rohstoffe,Australien,au
AU000000AOU2,AOU.AX,AUROCH MINERALS LTD,/aktien/AUROCH-MINERALS-Aktie-AU000000AOU2,Rohstoffe,Australien,au
AU000000APA1,APA.AX,APA GROUP STAPLED SE,/aktien/APA-GROUP-Aktie-AU000000APA1,Sonstige Branchen,Australien,au
AU000000APE3,APE.AX,EAGERS AUTOMOTIVE LT,/aktien/EAGERS-AUTOMOTIVE-Aktie-AU000000APE3,Automobilzulieferer,Australien,au
AU000000APX3,APX.AX,APPEN,/aktien/APPEN-Aktie-AU000000APX3,IT-Dienstleistungen,USA,us
AU000000APZ8,APZ.AX,ASPEN GROUP LTD. REG,/aktien/ASPEN-GROUP-Aktie-AU000000APZ8,Internetservice,Australien,au
